year,ekey,akey,medal
2008,229,488,
1992,167,489,
1988,229,490,
1984,158,491,
1984,429,492,
2012,494,493,
2016,251,494,
2012,177,495,S
2012,293,495,
2016,177,495,
2016,293,495,
1992,420,496,
1968,620,497,
2004,145,498,
2004,420,500,
2012,420,501,
1956,344,502,
1972,415,503,
1996,76,504,
1912,482,505,
1936,24,506,
1936,619,506,
1936,117,506,
1936,373,506,
1936,164,506,
1936,337,506,
1936,270,506,
1936,446,506,
1988,425,507,B
1988,297,507,G
1992,297,507,S
1976,122,509,
1976,223,509,
1980,122,509,
1980,287,509,
1980,223,509,B
2016,227,510,
2016,212,511,
1984,110,512,
1984,348,512,
1988,110,512,
1988,348,512,
1992,110,512,
1996,348,512,
1980,125,513,
2000,183,514,
2004,56,514,S
2008,56,514,
1968,513,515,
2008,344,516,
1984,240,517,
1984,604,517,
1976,240,518,
1976,604,518,
1920,240,519,
1920,604,519,
1920,28,519,
1920,180,519,
1924,240,519,G
1924,604,519,
1924,28,519,S
1912,180,520,
1912,237,521,G
1984,516,524,
1972,251,525,
1976,251,525,
1920,180,527,B
1960,177,528,
1960,381,528,
1960,38,528,
1964,381,528,
1964,38,528,
1972,251,531,
2016,512,533,
1992,420,536,
1996,238,537,
1996,120,538,
1960,245,540,
2008,549,541,
2008,480,541,
1964,212,542,
2004,246,543,B
1980,494,545,
1988,354,546,
1988,621,546,
1964,616,547,S
2016,54,551,
1988,309,552,
1956,344,553,
1960,344,553,
2016,408,554,
1988,572,555,
1988,168,555,
1992,572,555,
1996,572,555,
2008,604,556,
2012,604,556,
1988,28,557,
1996,555,558,
2012,420,560,
2016,58,563,
1976,14,564,
2004,543,565,
1968,24,566,
1968,117,566,
1968,373,566,
1968,164,566,
1968,337,566,
1968,270,566,
1968,446,566,
1976,359,567,
1976,555,567,
1976,330,567,
2008,249,568,
1984,496,569,
1980,582,570,
1996,513,571,
1976,508,572,
1976,314,572,
1980,202,572,
1980,422,572,
1980,122,572,
1988,586,573,
2012,161,574,
2016,161,574,
2012,440,575,
2016,582,576,B
1912,577,577,
1912,458,577,
2016,578,578,
2016,47,579,
2000,185,580,
2008,185,580,B
1952,461,581,
1952,210,581,
1952,253,581,
1952,146,581,
1952,551,581,
1952,431,581,
1952,147,581,
1980,519,582,G
2004,419,583,G
2008,419,583,G
2012,419,583,
2016,419,583,
2012,212,584,
1988,388,585,
1988,298,587,
1988,348,587,
2008,394,589,
2008,240,590,
2004,420,591,
1984,381,592,
1984,38,592,
2012,212,593,
2016,212,593,
1992,344,594,
1996,344,594,
1996,395,595,
2012,10,596,
1936,494,597,
2000,197,598,
2004,122,598,
1996,167,599,
2004,324,600,
2008,324,600,
2004,110,601,
2000,543,602,
1988,360,603,
2008,54,604,
2008,348,604,
1968,404,605,
1964,404,606,
1968,404,606,
2004,193,607,
2016,390,608,G
2004,368,609,
1960,461,610,
1960,210,610,
1960,146,610,
1960,551,610,
1960,431,610,
1960,147,610,
1964,461,610,
1964,210,610,B
1964,146,610,
1964,551,610,
1964,431,610,
1964,147,610,
2016,240,611,
2012,390,612,
2016,368,613,
1996,420,614,
1984,32,615,
1984,620,615,
2004,212,616,
2004,290,617,
1976,381,618,
1976,38,618,
1980,381,618,
1980,38,618,B
1980,72,619,G
2008,167,620,
2012,167,620,
2004,508,621,
1988,381,622,
2008,47,623,
2012,47,623,
1968,195,624,
1948,324,625,
1948,168,625,
1952,324,625,
1952,490,625,
1972,44,626,
1976,44,626,
2008,461,627,
2008,210,627,B
2008,146,627,
2008,147,627,
1972,98,628,
1976,98,628,
2012,251,629,G
1996,227,630,
1948,541,631,
1948,541,632,
1908,619,635,
1948,177,636,
1948,381,636,
2000,487,637,
2012,168,638,
1920,420,639,S
1992,238,640,
1960,494,641,
1928,90,642,
1972,415,643,
1988,368,644,
1988,430,644,
1968,420,645,
1992,158,646,B
